"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Ocean,"49,813","51,353","53,139",17,3.1,3.5,21
Passaic,"48,204","50,071","52,129",18,3.9,4.1,8
Salem,"46,715","48,105","50,203",20,3.0,4.4,2
Somerset,"99,189","105,161","109,916",1,6.0,4.5,1
Sussex,"58,798","61,156","63,784",10,4.0,4.3,4
Union,"65,130","68,313","70,865",7,4.9,3.7,19
Warren,"53,669","55,448","57,854",14,3.3,4.3,3
,,,,,,,
New Mexico,"39,747","41,670","43,326",--,4.8,4.0,--
Bernalillo,"42,282","43,902","45,431",6,3.8,3.5,25
Catron,"32,068","32,858","32,866",31,2.5,0.0,33
Chaves,"38,140","39,477","41,746",16,3.5,5.7,8
Cibola,"27,345","28,168","29,384",33,3.0,4.3,15
Colfax,"40,020","41,143","42,497",14,2.8,3.3,26
Curry,"41,762","42,208","44,914",7,1.1,6.4,6
De Baca,"45,969","48,824","52,191",4,6.2,6.9,4
Doña Ana,"35,153","36,192","37,756",21,3.0,4.3,14
Eddy,"48,074","54,956","59,661",3,14.3,8.6,2
Grant,"38,612","41,216","42,959",12,6.7,4.2,17
Guadalupe,"32,231","34,313","35,516",27,6.5,3.5,24
Harding,"36,396","41,277","44,883",8,13.4,8.7,1
Hidalgo,"39,759","42,689","44,716",9,7.4,4.7,11
Lea,"40,171","47,230","49,039",5,17.6,3.8,22
Lincoln,"39,963","41,130","42,900",13,2.9,4.3,16
Los Alamos,"68,278","71,570","73,821",1,4.8,3.1,27
Luna,"30,471","32,257","33,927",29,5.9,5.2,9
McKinley,"26,952","28,036","29,714",32,4.0,6.0,7
Mora,"36,111","38,302","39,987",18,6.1,4.4,13
Otero,"33,605","34,905","35,889",25,3.9,2.8,28
Quay,"37,532","39,787","41,569",17,6.0,4.5,12
Rio Arriba,"33,492","34,739","36,100",23,3.7,3.9,19
Roosevelt,"39,900","39,934","43,330",10,0.1,8.5,3
Sandoval,"40,079","41,528","43,125",11,3.6,3.8,20
San Juan,"34,006","35,278","35,999",24,3.7,2.0,31
San Miguel,"33,258","34,827","36,105",22,4.7,3.7,23
Santa Fe,"55,063","58,696","60,276",2,6.6,2.7,29
Sierra,"37,743","39,547","42,255",15,4.8,6.8,5
Socorro,"33,409","34,494","35,867",26,3.2,4.0,18
Taos,"36,730","38,098","38,810",19,3.7,1.9,32
Torrance,"30,326","31,879","33,446",30,5.1,4.9,10
Union,"35,799","36,858","37,763",20,3.0,2.5,30
Valencia,"32,406","33,670","34,964",28,3.9,3.8,21
,,,,,,,
New York,"65,814","68,657","71,717",--,4.3,4.5,--
Albany,"59,640","60,637","63,037",8,1.7,4.0,53
Allegany,"34,116","34,784","36,164",62,2.0,4.0,52
Bronx,"36,140","37,459","39,711",59,3.6,6.0,5
Broome,"43,055","44,332","46,361",37,3.0,4.6,33
Cattaraugus,"39,168","39,796","41,774",55,1.6,5.0,19
Cayuga,"41,286","42,209","44,520",43,2.2,5.5,8
Chautauqua,"40,199","40,472","42,355",50,0.7,4.7,28
Chemung,"42,869","44,510","46,421",36,3.8,4.3,44
Chenango,"41,015","42,019","44,146",44,2.4,5.1,16
Clinton,"43,136","43,437","45,112",42,0.7,3.9,56
Columbia,"54,184","55,630","58,123",11,2.7,4.5,38
Cortland,"39,735","40,833","42,252",51,2.8,3.5,60
Delaware,"38,216","39,586","42,220",52,3.6,6.7,2
Dutchess,"54,113","55,911","58,478",10,3.3,4.6,32
Erie,"50,032","51,406","53,498",19,2.7,4.1,49
Essex,"44,447","45,917","48,181",28,3.3,4.9,20
Franklin,"37,065","37,390","39,649",61,0.9,6.0,4
Fulton,"42,094","43,430","45,459",41,3.2,4.7,27
Genesee,"42,887","44,080","46,181",38,2.8,4.8,25
Greene,"46,101","46,982","49,100",25,1.9,4.5,35
Hamilton,"52,259","53,781","55,578",13,2.9,3.3,61
Herkimer,"40,536","41,353","43,479",45,2.0,5.1,12
Jefferson,"45,611","46,800","49,365",24,2.6,5.5,7
Kings,"50,268","53,346","56,080",12,6.1,5.1,14
Lewis,"43,526","44,681","47,471",30,2.7,6.2,3
Livingston,"44,310","45,975","48,268",27,3.8,5.0,18
Madison,"43,228","43,779","45,794",39,1.3,4.6,31
Monroe,"51,419","52,943","55,034",17,3.0,3.9,54
Montgomery,"41,267","41,391","43,272",46,0.3,4.5,34
Nassau,"85,663","89,711","93,241",3,4.7,3.9,55
New York,"183,568","190,997","197,847",1,4.0,3.6,59
Niagara,"44,192","45,245","47,207",32,2.4,4.3,43
Oneida,"43,506","44,692","46,867",34,2.7,4.9,21
Onondaga,"51,167","53,398","55,564",14,4.4,4.1,50
Ontario,"52,197","53,303","55,541",15,2.1,4.2,48
Orange,"49,964","51,343","53,656",18,2.8,4.5,36
Orleans,"38,301","39,087","41,050",56,2.1,5.0,17
Oswego,"39,326","40,161","42,025",54,2.1,4.6,29
Otsego,"42,289","43,759","45,774",40,3.5,4.6,30
Putnam,"62,987","66,396","69,365",6,5.4,4.5,39
Queens,"47,867","50,279","53,008",20,5.0,5.4,9
Rensselaer,"47,927","49,274","51,356",23,2.8,4.2,46
Richmond,"54,488","56,171","58,890",9,3.1,4.8,22
Rockland,"58,184","60,568","63,167",7,4.1,4.3,45
St. Lawrence,"37,054","37,892","39,697",60,2.3,4.8,26
Saratoga,"65,315","70,127","72,757",4,7.4,3.8,58
Schenectady,"49,329","49,687","51,697",22,0.7,4.0,51
Schoharie,"39,716","40,989","43,113",49,3.2,5.2,11
Schuyler,"40,988","41,513","43,262",47,1.3,4.2,47
Seneca,"38,190","38,553","40,534",58,1.0,5.1,13
Steuben,"43,554","45,241","47,212",31,3.9,4.4,42
Suffolk,"65,649","68,868","71,911",5,4.9,4.4,41
Sullivan,"44,437","46,012","48,753",26,3.5,6.0,6
Tioga,"44,275","44,804","46,969",33,1.2,4.8,23
Tompkins,"43,732","45,120","46,496",35,3.2,3.0,62
Ulster,"48,584","50,590","53,006",21,4.1,4.8,24
Warren,"50,796","52,822","55,181",16,4.0,4.5,40
Washington,"39,002","40,148","42,181",53,2.9,5.1,15
Wayne,"44,962","45,828","47,886",29,1.9,4.5,37
Westchester,"103,808","109,324","113,477",2,5.3,3.8,57
Wyoming,"39,604","40,115","43,176",48,1.3,7.6,1
Yates,"38,359","38,788","40,877",57,1.1,5.4,10
,,,,,,,
North Carolina,"44,409","46,216","47,766",--,4.1,3.4,--
Alamance,"38,508","39,940","41,193",40,3.7,3.1,75
Alexander,"35,789","36,749","37,622",64,2.7,2.4,96
Alleghany,"35,932","36,962","38,514",59,2.9,4.2,28
Anson,"34,547","35,468","36,307",76,2.7,2.4,97
Ashe,"33,543","34,779","36,426",74,3.7,4.7,12
Avery,"34,312","35,565","36,748",70,3.7,3.3,62
Beaufort,"40,610","41,706","43,743",27,2.7,4.9,11
Bertie,"35,639","35,603","37,424",66,-0.1,5.1,7
Bladen,"34,809","34,887","36,312",75,0.2,4.1,29
Brunswick,"41,616","43,250","44,129",25,3.9,2.0,99
Buncombe,"46,297","48,936","50,690",11,5.7,3.6,48
Burke,"33,844","34,919","36,212",77,3.2,3.7,44
Cabarrus,"43,836","45,202","46,615",19,3.1,3.1,76
Caldwell,"34,210","35,383","36,609",72,3.4,3.5,54
Camden,"43,696","44,997","46,366",22,3.0,3.0,81
Carteret,"47,385","49,435","51,582",10,4.3,4.3,24
Caswell,"33,622","34,534","36,153",79,2.7,4.7,13
Catawba,"43,553","44,948","46,367",21,3.2,3.2,72
Chatham,"60,330","63,134","64,807",2,4.6,2.6,93
Cherokee,"30,963","32,005","33,402",94,3.4,4.4,22
Chowan,"39,072","40,596","42,314",31,3.9,4.2,26
Clay,"32,054","33,154","34,391",90,3.4,3.7,42
Cleveland,"36,155","37,363","38,644",58,3.3,3.4,56
Columbus,"31,363","32,260","33,743",93,2.9,4.6,17
Craven,"42,099","44,259","46,446",20,5.1,4.9,9
Cumberland,"37,430","38,757","40,233",45,3.5,3.8,40
Currituck,"44,016","46,301","47,767",15,5.2,3.2,71
Dare,"53,826","56,006","57,688",5,4.1,3.0,85
Davidson,"38,124","39,508","40,876",41,3.6,3.5,55
Davie,"46,423","47,999","49,508",12,3.4,3.1,74
Duplin,"34,417","33,980","35,208",87,-1.3,3.6,47
Durham,"48,168","50,131","51,713",9,4.1,3.2,73
Edgecombe,"34,107","35,371","36,814",69,3.7,4.1,30
Forsyth,"47,390","47,819","49,247",13,0.9,3.0,86
Franklin,"34,563","35,981","37,089",68,4.1,3.1,79
Gaston,"39,977","40,175","41,506",37,0.5,3.3,64
Gates,"36,705","37,187","38,851",54,1.3,4.5,18
Graham,"31,620","33,353","35,040",88,5.5,5.1,8
Granville,"36,974","38,189","39,610",50,3.3,3.7,43
Greene,"31,510","31,573","32,904",96,0.2,4.2,27
Guilford,"44,664","46,078","47,546",16,3.2,3.2,70
Halifax,"35,101","36,244","37,854",62,3.3,4.4,19
Harnett,"33,352","34,437","35,484",84,3.3,3.0,82
Haywood,"38,957","40,188","41,798",35,3.2,4.0,32
Henderson,"41,613","43,795","45,342",24,5.2,3.5,50
Hertford,"31,372","31,862","33,251",95,1.6,4.4,23
Hoke,"30,040","31,375","32,574",98,4.4,3.8,38
Hyde,"36,654","37,245","40,044",48,1.6,7.5,3
Iredell,"48,267","50,907","52,423",7,5.5,3.0,88
Jackson,"32,151","33,325","34,860",89,3.7,4.6,15
Johnston,"38,559","40,129","41,327",39,4.1,3.0,87
Jones,"40,168","38,580","42,024",32,-4.0,8.9,1
Lee,"38,717","40,769","42,021",33,5.3,3.1,80
Lenoir,"39,398","40,372","41,752",36,2.5,3.4,57
Lincoln,"43,721","45,655","47,178",18,4.4,3.3,61
McDowell,"33,163","34,107","35,227",86,2.8,3.3,66
Macon,"39,039","39,583","40,848",42,1.4,3.2,69
Madison,"32,538","34,216","35,729",81,5.2,4.4,21
Martin,"33,190","33,952","35,541",83,2.3,4.7,14
Mecklenburg,"58,750","61,080","62,890",3,4.0,3.0,89
Mitchell,"34,707","35,718","36,684",71,2.9,2.7,92
Montgomery,"33,902","35,330","36,181",78,4.2,2.4,95
Moore,"49,347","50,870","51,913",8,3.1,2.1,98
Nash,"40,595","42,429","43,971",26,4.5,3.6,45
New Hanover,"43,882","46,627","48,029",14,6.3,3.0,83
Northampton,"33,493","34,305","36,597",73,2.4,6.7,4
Onslow,"44,865","46,377","47,525",17,3.4,2.5,94
Orange,"63,820","63,062","65,185",1,-1.2,3.4,59
Pamlico,"41,105","41,268","43,290",29,0.4,4.9,10
Pasquotank,"37,890","38,881","40,388",44,2.6,3.9,36
Pender,"35,564","37,092","38,338",61,4.3,3.4,60
Perquimans,"39,501","40,030","41,804",34,1.3,4.4,20
Person,"36,464","37,629","39,119",52,3.2,4.0,34
Pitt,"39,958","41,841","43,325",28,4.7,3.5,49
Polk,"43,120","44,012","45,459",23,2.1,3.3,65
Randolph,"36,046","37,572","38,892",53,4.2,3.5,51
Richmond,"34,203","34,551","35,630",82,1.0,3.1,77
Robeson,"28,333","29,236","30,423",99,3.2,4.1,31
Rockingham,"36,099","37,184","38,419",60,3.0,3.3,63
Rowan,"36,888","38,712","40,213",46,4.9,3.9,35
Rutherford,"31,555","32,634","34,021",91,3.4,4.3,25
Sampson,"35,171","34,614","35,871",80,-1.6,3.6,46
Scotland,"31,846","32,991","33,938",92,3.6,2.9,91
Stanly,"37,797","38,804","40,157",47,2.7,3.5,53
Stokes,"36,034","37,620","38,835",55,4.4,3.2,68
Surry,"37,215","38,273","39,525",51,2.8,3.3,67
Swain,"38,139","38,802","40,819",43,1.7,5.2,6
Transylvania,"39,923","41,295","42,515",30,3.4,3.0,90
Tyrrell,"31,717","30,337","32,712",97,-4.4,7.8,2
Union,"49,709","51,802","53,417",6,4.2,3.1,78
Vance,"33,552","33,983","35,278",85,1.3,3.8,39
Wake,"56,298","60,447","62,264",4,7.4,3.0,84
Warren,"28,657","29,209","30,377",100,1.9,4.0,33
Washington,"34,410","35,541","37,481",65,3.3,5.5,5
Watauga,"35,350","37,016","38,720",57,4.7,4.6,16
Wayne,"37,361","38,425","39,894",49,2.8,3.8,37
Wilkes,"36,323","36,710","37,313",67,1.1,1.6,100
Wilson,"38,918","39,982","41,339",38,2.7,3.4,58
Yadkin,"36,320","37,500","38,816",56,3.2,3.5,52
Yancey,"33,926","36,445","37,812",63,7.4,3.8,41
,,,,,,,
North Dakota,"52,736","55,788","57,232",--,5.8,2.6,--
Adams,"48,719","48,401","50,172",41,-0.7,3.7,20
Barnes,"49,792","52,651","55,764",29,5.7,5.9,9
Benson,"33,318","37,116","36,139",52,11.4,-2.6,47
Billings,"77,821","75,712","79,550",1,-2.7,5.1,13
Bottineau,"53,366","62,241","61,071",13,16.6,-1.9,46
Bowman,"57,830","59,530","66,566",5,2.9,11.8,2
Burke,"62,439","72,618","74,224",2,16.3,2.2,28
Burleigh,"56,088","58,522","60,117",17,4.3,2.7,24
Cass,"54,257","57,067","58,783",21,5.2,3.0,23
Cavalier,"57,576","75,087","65,298",6,30.4,-13.0,53
Dickey,"51,227","54,479","60,512",15,6.3,11.1,3
Divide,"50,885","50,593","52,476",36,-0.6,3.7,18
Dunn,"55,477","60,049","63,237",9,8.2,5.3,12
Eddy,"55,192","59,384","59,794",18,7.6,0.7,34
Emmons,"46,423","48,268","49,101",45,4.0,1.7,32
Foster,"58,576","61,239","59,570",19,4.5,-2.7,48
Golden Valley,"40,248","36,906","37,688",50,-8.3,2.1,29
Grand Forks,"49,551","51,747","53,502",31,4.4,3.4,22
Grant,"45,541","41,963","45,370",48,-7.9,8.1,6
Griggs,"55,802","57,744","56,996",27,3.5,-1.3,43
Hettinger,"52,731","47,876","49,775",43,-9.2,4.0,16
Kidder,"47,954","50,206","52,877",35,4.7,5.3,11
LaMoure,"49,356","52,821","57,831",25,7.0,9.5,4
Logan,"52,962","52,270","51,670",39,-1.3,-1.1,42
McHenry,"45,446","52,378","52,038",37,15.3,-0.6,41
McIntosh,"52,322","54,331","58,245",22,3.8,7.2,7
McKenzie,"58,532","64,957","65,130",7,11.0,0.3,36
McLean,"50,692","55,567","55,710",30,9.6,0.3,37
Mercer,"58,255","57,973","57,936",23,-0.5,-0.1,39
Morton,"50,404","52,080","53,454",32,3.3,2.6,25
Mountrail,"53,101","60,643","61,569",11,14.2,1.5,33
Nelson,"57,203","61,157","60,964",14,6.9,-0.3,40
Oliver,"43,523","44,047","44,140",49,1.2,0.2,38
Pembina,"57,255","58,365","60,512",15,1.9,3.7,19
Pierce,"46,339","51,272","49,600",44,10.6,-3.3,49
Ramsey,"46,263","49,713","50,047",42,7.5,0.7,35
Ransom,"51,491","54,935","57,933",24,6.7,5.5,10
Renville,"55,862","74,970","70,486",3,34.2,-6.0,51
Richland,"47,229","50,047","51,045",40,6.0,2.0,30
Rolette,"33,164","36,071","36,875",51,8.8,2.2,27
Sargent,"51,869","56,233","61,102",12,8.4,8.7,5
Sheridan,"42,187","48,774","46,962",46,15.6,-3.7,50
Sioux,"25,898","27,485","28,524",53,6.1,3.8,17
Slope,"48,653","40,042","46,328",47,-17.7,15.7,1
Stark,"59,774","61,501","63,942",8,2.9,4.0,15
Steele,"51,159","55,534","57,770",26,8.6,4.0,14
Stutsman,"49,098","51,779","53,065",34,5.5,2.5,26
Towner,"53,812","71,660","62,530",10,33.2,-12.7,52
Traill,"47,806","49,892","53,140",33,4.4,6.5,8
Walsh,"48,262","51,027","51,995",38,5.7,1.9,31
Ward,"51,200","54,153","56,088",28,5.8,3.6,21
Wells,"53,305","60,201","59,292",20,12.9,-1.5,45
Williams,"65,795","69,197","68,291",4,5.2,-1.3,44
,,,,,,,
Ohio,"46,829","48,747","50,199",--,4.1,3.0,--
Adams,"33,493","34,597","35,269",83,3.3,1.9,79
Allen,"40,925","42,575","43,788",42,4.0,2.8,44
Ashland,"37,215","38,711","39,977",66,4.0,3.3,18
Ashtabula,"37,169","38,659","39,767",68,4.0,2.9,43
Athens,"32,521","33,279","34,796",84,2.3,4.6,1
Auglaize,"47,304","48,577","49,789",18,2.7,2.5,63
Belmont,"39,881","43,012","42,987",44,7.9,-0.1,87
Brown,"35,910","36,978","38,401",77,3.0,3.8,7
Butler,"45,383","47,236","49,146",19,4.1,4.0,5
Carroll,"37,672","39,445","40,833",59,4.7,3.5,12
Champaign,"39,616","41,376","42,432",46,4.4,2.6,59
Clark,"39,445","40,563","41,811",53,2.8,3.1,30
Clermont,"51,116","53,553","55,842",9,4.8,4.3,3
Clinton,"43,693","45,183","46,599",30,3.4,3.1,26
Columbiana,"36,550","38,380","39,311",70,5.0,2.4,65
Coshocton,"33,579","35,070","35,962",81,4.4,2.5,60
Crawford,"37,161","39,055","39,844",67,5.1,2.0,76
Cuyahoga,"52,561","54,795","56,502",8,4.3,3.1,27
Darke,"41,499","44,271","44,297",37,6.7,0.1,86
Defiance,"39,567","41,108","42,003",50,3.9,2.2,71
Delaware,"71,469","74,037","75,778",1,3.6,2.4,67
Erie,"59,786","60,436","61,821",4,1.1,2.3,69
Fairfield,"44,480","46,093","47,295",25,3.6,2.6,57
Fayette,"37,871","38,938","40,002",65,2.8,2.7,50
Franklin,"48,809","50,285","51,644",15,3.0,2.7,51
Fulton,"43,646","45,351","46,811",28,3.9,3.2,21
Gallia,"37,404","39,196","40,038",64,4.8,2.1,72
Geauga,"66,110","68,884","70,955",2,4.2,3.0,36
Greene,"48,486","50,277","51,509",16,3.7,2.5,64
Guernsey,"38,622","40,403","41,613",55,4.6,3.0,37
Hamilton,"57,101","59,780","61,732",5,4.7,3.3,19
Hancock,"49,695","50,181","51,762",14,1.0,3.2,25
Hardin,"31,629","33,019","33,788",87,4.4,2.3,68
Harrison,"37,481","38,306","39,209",71,2.2,2.4,66
Henry,"43,516","44,780","46,006",34,2.9,2.7,48
Highland,"35,168","36,208","37,317",78,3.0,3.1,31
Hocking,"36,890","37,875","38,975",72,2.7,2.9,41
Holmes,"43,100","45,505","46,876",27,5.6,3.0,33
Huron,"39,121","40,709","41,797",54,4.1,2.7,52
Jackson,"34,744","35,397","36,672",79,1.9,3.6,10
Jefferson,"37,519","39,226","40,844",58,4.5,4.1,4
Knox,"40,838","43,135","44,019",40,5.6,2.0,74
Lake,"48,715","50,858","52,475",12,4.4,3.2,24
Lawrence,"36,760","38,638","39,610",69,5.1,2.5,61
Licking,"44,460","45,844","47,097",26,3.1,2.7,49
Logan,"41,264","42,889","44,030",39,3.9,2.7,53
Lorain,"44,380","46,183","47,666",24,4.1,3.2,22
Lucas,"44,319","46,477","47,875",23,4.9,3.0,35
Madison,"40,622","41,047","41,862",52,1.0,2.0,78
Mahoning,"41,518","43,134","43,925",41,3.9,1.8,81
Marion,"36,661","37,411","38,644",73,2.0,3.3,17
Medina,"53,508","55,575","57,387",7,3.9,3.3,20
Meigs,"33,301","34,210","35,723",82,2.7,4.4,2
Mercer,"49,666","52,964","52,106",13,6.6,-1.6,88
Miami,"45,851","47,740","48,997",20,4.1,2.6,55
Monroe,"32,019","35,361","36,672",79,10.4,3.7,8
Montgomery,"45,180","47,033","48,448",22,4.1,3.0,34
Morgan,"31,835","32,926","34,038",86,3.4,3.4,14
Morrow,"37,582","39,094","40,221",62,4.0,2.9,42
Muskingum,"39,289","40,869","41,998",51,4.0,2.8,47
Noble,"25,883","27,291","27,703",88,5.4,1.5,85
Ottawa,"49,384","51,604","53,133",10,4.5,3.0,39
Paulding,"38,950","41,195","42,017",48,5.8,2.0,77
Perry,"36,140","37,428","38,469",76,3.6,2.8,46
Pickaway,"39,336","40,599","41,422",56,3.2,2.0,75
Pike,"36,395","37,496","38,610",74,3.0,3.0,38
Portage,"42,294","43,582","45,023",36,3.0,3.3,16
Preble,"38,663","40,107","41,110",57,3.7,2.5,62
Putnam,"47,151","49,514","50,560",17,5.0,2.1,73
Richland,"38,074","39,393","40,507",61,3.5,2.8,45
Ross,"35,685","37,261","38,563",75,4.4,3.5,13
Sandusky,"40,063","41,429","42,188",47,3.4,1.8,82
Scioto,"37,014","39,133","40,144",63,5.7,2.6,58
Seneca,"38,195","39,306","40,607",60,2.9,3.3,15
Shelby,"44,249","45,551","46,739",29,2.9,2.6,56
Stark,"43,418","45,051","46,441",31,3.8,3.1,29
Summit,"49,091","51,349","52,918",11,4.6,3.1,32
Trumbull,"39,619","41,093","42,005",49,3.7,2.2,70
Tuscarawas,"41,793","43,844","45,199",35,4.9,3.1,28
Union,"53,797","58,733","59,811",6,9.2,1.8,80
Van Wert,"40,511","42,473","43,166",43,4.8,1.6,84
Vinton,"32,212","33,330","34,400",85,3.5,3.2,23
Warren,"57,515","59,806","62,111",3,4.0,3.9,6
Washington,"40,536","43,524","44,283",38,7.4,1.7,83
Wayne,"42,544","44,823","46,420",33,5.4,3.6,11
Williams,"39,686","41,436","42,970",45,4.4,3.7,9
Wood,"45,236","47,420","48,823",21,4.8,3.0,40
Wyandot,"42,384","45,230","46,428",32,6.7,2.6,54
,,,,,,,
Oklahoma,"43,794","45,843","47,341",--,4.7,3.3,--
Adair,"28,570","28,755","29,528",77,0.6,2.7,62
Alfalfa,"34,971","37,904","39,316",38,8.4,3.7,42
Atoka,"31,181","31,739","32,823",73,1.8,3.4,50
Beaver,"48,000","51,797","52,877",8,7.9,2.1,70
Beckham,"35,997","38,925","38,789",41,8.1,-0.3,75
Blaine,"38,052","40,623","42,256",31,6.8,4.0,33
Bryan,"33,391","33,950","35,269",59,1.7,3.9,38
Caddo,"34,143","35,826","37,603",51,4.9,5.0,18
Canadian,"43,234","44,865","46,116",14,3.8,2.8,58
Carter,"40,778","42,661","43,578",24,4.6,2.1,69
Cherokee,"31,229","32,322","33,583",67,3.5,3.9,37
Choctaw,"29,959","31,004","32,368",74,3.5,4.4,28
Cimarron,"69,457","66,417","71,734",1,-4.4,8.0,6
Cleveland,"43,169","44,412","45,675",15,2.9,2.8,56
Coal,"33,342","36,027","38,741",42,8.1,7.5,9
Comanche,"39,807","40,893","42,676",28,2.7,4.4,30
Cotton,"39,294","39,855","43,032",27,1.4,8.0,7
Craig,"35,782","36,938","38,861",40,3.2,5.2,16
Creek,"38,614","39,866","41,624",32,3.2,4.4,27
Custer,"38,221","39,872","41,261",34,4.3,3.5,48
Delaware,"31,180","31,978","33,113",69,2.6,3.5,45
Dewey,"37,921","45,009","47,685",10,18.7,5.9,14
Ellis,"48,870","51,712","54,037",6,5.8,4.5,24
Garfield,"42,638","43,667","44,899",16,2.4,2.8,57
Garvin,"36,161","37,973","39,303",39,5.0,3.5,47
Grady,"37,926","39,554","40,777",36,4.3,3.1,54
Grant,"40,805","41,335","46,669",13,1.3,12.9,1
Greer,"28,577","28,578","30,055",76,0.0,5.2,17
Harmon,"37,914","38,473","42,281",30,1.5,9.9,3
Harper,"49,541","53,067","53,798",7,7.1,1.4,73
Haskell,"31,829","32,273","32,972",71,1.4,2.2,68
Hughes,"37,240","40,189","42,601",29,7.9,6.0,13
Jackson,"39,008","40,536","43,321",25,3.9,6.9,11
Jefferson,"30,437","32,556","34,118",64,7.0,4.8,20
Johnston,"34,307","36,326","34,931",61,5.9,-3.8,77
Kay,"39,387","40,038","41,469",33,1.7,3.6,44
Kingfisher,"47,747","51,946","54,342",5,8.8,4.6,22
Kiowa,"34,930","34,841","37,761",49,-0.3,8.4,5
Latimer,"33,833","33,987","35,167",60,0.5,3.5,49
Le Flore,"31,414","32,140","33,222",68,2.3,3.4,51
Lincoln,"33,850","34,760","35,697",56,2.7,2.7,60
Logan,"41,206","42,723","43,861",21,3.7,2.7,64
Love,"35,602","37,141","37,666",50,4.3,1.4,72
McClain,"43,216","45,646","46,874",12,5.6,2.7,61
McCurtain,"31,730","32,120","33,002",70,1.2,2.7,59
McIntosh,"32,131","32,979","35,335",58,2.6,7.1,10
Major,"39,732","43,481","43,815",22,9.4,0.8,74
Marshall,"31,586","32,597","33,857",65,3.2,3.9,39
Mayes,"33,813","35,032","36,363",54,3.6,3.8,40
Murray,"40,711","42,253","43,275",26,3.8,2.4,67
Muskogee,"35,322","36,186","37,827",48,2.4,4.5,23
Noble,"40,230","41,381","44,037",20,2.9,6.4,12
Nowata,"34,170","35,599","37,054",52,4.2,4.1,32
Okfuskee,"27,826","28,792","31,212",75,3.5,8.4,4
Oklahoma,"49,087","50,766","52,048",9,3.4,2.5,65
Okmulgee,"32,399","33,422","34,888",62,3.2,4.4,29
Osage,"33,305","34,120","35,458",57,2.4,3.9,36
Ottawa,"35,261","36,497","38,291",44,3.5,4.9,19
Pawnee,"34,213","35,421","36,538",53,3.5,3.2,53
Payne,"35,235","36,639","38,276",45,4.0,4.5,25
Pittsburg,"36,636","38,184","39,331",37,4.2,3.0,55
Pontotoc,"40,714","42,679","44,712",17,4.8,4.8,21
Pottawatomie,"36,007","36,752","38,053",47,2.1,3.5,46
Pushmataha,"30,965","31,440","32,830",72,1.5,4.4,26
Roger Mills,"44,977","44,661","44,454",18,-0.7,-0.5,76
Rogers,"43,776","45,833","47,635",11,4.7,3.9,35
Seminole,"31,425","33,297","34,658",63,6.0,4.1,31
Sequoyah,"31,947","32,470","33,665",66,1.6,3.7,43
Stephens,"38,970","42,138","43,723",23,8.1,3.8,41
Texas,"55,159","57,130","61,652",4,3.6,7.9,8
Tillman,"34,499","34,948","38,674",43,1.3,10.7,2
Tulsa,"58,233","63,015","64,699",3,8.2,2.7,63
Wagoner,"37,918","39,303","40,851",35,3.7,3.9,34
Washington,"58,543","63,444","66,805",2,8.4,5.3,15
Washita,"33,514","35,286","36,141",55,5.3,2.4,66
Woods,"40,164","43,058","44,427",19,7.2,3.2,52
Woodward,"35,960","37,598","38,156",46,4.6,1.5,71
,,,,,,,
Oregon,"48,762","51,500","53,191",--,5.6,3.3,--
Baker,"39,059","41,421","42,494",28,6.0,2.6,26
Benton,"44,685","47,070","48,725",8,5.3,3.5,13
Clackamas,"55,806","59,533","61,726",2,6.7,3.7,10
Clatsop,"43,371","45,954","47,081",13,6.0,2.5,29
Columbia,"42,380","44,335","46,019",16,4.6,3.8,8
Coos,"42,177","44,721","46,429",14,6.0,3.8,7
Crook,"39,488","41,529","42,584",27,5.2,2.5,27
Curry,"41,296","43,899","45,474",19,6.3,3.6,12
Deschutes,"52,547","55,612","56,447",5,5.8,1.5,33
Douglas,"39,280","41,067","42,334",29,4.5,3.1,22
Gilliam,"49,752","51,784","55,409",7,4.1,7.0,1
Grant,"39,769","41,715","42,888",26,4.9,2.8,23
Harney,"38,052","40,407","41,818",31,6.2,3.5,17
Hood River,"53,457","55,940","56,325",6,4.6,0.7,36
Jackson,"44,955","46,661","48,291",10,3.8,3.5,16
Jefferson,"32,783","34,405","35,155",35,4.9,2.2,30
Josephine,"39,566","41,909","43,554",23,5.9,3.9,6
Klamath,"39,147","40,787","41,613",33,4.2,2.0,32
Lake,"38,761","41,766","43,228",24,7.8,3.5,15
Lane,"44,416","46,124","47,340",12,3.8,2.6,25
Lincoln,"42,264","44,727","45,935",17,5.8,2.7,24
Linn,"41,169","43,327","44,830",21,5.2,3.5,18
Malheur,"31,347","32,929","34,576",36,5.0,5.0,4
Marion,"41,389","43,441","45,158",20,5.0,4.0,5
Morrow,"42,947","45,644","48,605",9,6.3,6.5,2
Multnomah,"55,200","58,716","60,773",3,6.4,3.5,14
Polk,"39,698","41,355","42,897",25,4.2,3.7,9
Sherman,"48,314","56,344","56,940",4,16.6,1.1,34
Tillamook,"43,262","44,403","45,879",18,2.6,3.3,20
Umatilla,"38,488","40,625","41,928",30,5.6,3.2,21
Union,"38,854","40,873","41,721",32,5.2,2.1,31
Wallowa,"43,077","44,933","46,044",15,4.3,2.5,28
Wasco,"41,997","43,161","43,596",22,2.8,1.0,35
